feature,importance,fold
BURO_DAYS_CREDIT_MIN,1054,1
BURO_DAYS_CREDIT_MAX,1550,1
BURO_DAYS_CREDIT_MEAN,1434,1
BURO_DAYS_CREDIT_VAR,1745,1
BURO_DAYS_CREDIT_ENDDATE_MIN,983,1
BURO_DAYS_CREDIT_ENDDATE_MAX,1256,1
BURO_DAYS_CREDIT_ENDDATE_MEAN,1481,1
BURO_DAYS_CREDIT_UPDATE_MEAN,1382,1
BURO_CREDIT_DAY_OVERDUE_MAX,91,1
BURO_CREDIT_DAY_OVERDUE_MEAN,66,1
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,1549,1
BURO_AMT_CREDIT_SUM_MAX,1192,1
BURO_AMT_CREDIT_SUM_MEAN,1511,1
BURO_AMT_CREDIT_SUM_SUM,1235,1
BURO_AMT_CREDIT_SUM_DEBT_MAX,820,1
BURO_AMT_CREDIT_SUM_DEBT_MEAN,1280,1
BURO_AMT_CREDIT_SUM_DEBT_SUM,662,1
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,165,1
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,533,1
BURO_AMT_CREDIT_SUM_LIMIT_SUM,221,1
BURO_AMT_ANNUITY_MAX,459,1
BURO_AMT_ANNUITY_MEAN,491,1
BURO_CNT_CREDIT_PROLONG_SUM,75,1
BURO_MONTHS_BALANCE_MIN_MIN,287,1
BURO_MONTHS_BALANCE_MAX_MAX,76,1
BURO_MONTHS_BALANCE_SIZE_MEAN,505,1
BURO_MONTHS_BALANCE_SIZE_SUM,465,1
BURO_CREDIT_ACTIVE_Active_MEAN,437,1
BURO_CREDIT_ACTIVE_Bad_debt_MEAN,0,1
BURO_CREDIT_ACTIVE_Closed_MEAN,502,1
BURO_CREDIT_ACTIVE_Sold_MEAN,108,1
BURO_CREDIT_ACTIVE_nan_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_1_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_2_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_3_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_4_MEAN,0,1
BURO_CREDIT_CURRENCY_nan_MEAN,0,1
BURO_CREDIT_TYPE_Another_type_of_loan_MEAN,26,1
BURO_CREDIT_TYPE_Car_loan_MEAN,244,1
BURO_CREDIT_TYPE_Cash_loan_non_earmarked__MEAN,0,1
BURO_CREDIT_TYPE_Consumer_credit_MEAN,815,1
BURO_CREDIT_TYPE_Credit_card_MEAN,899,1
BURO_CREDIT_TYPE_Interbank_credit_MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_business_development_MEAN,29,1
BURO_CREDIT_TYPE_Loan_for_purchase_of_shares_margin_lending__MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_the_purchase_of_equipment_MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_working_capital_replenishment_MEAN,0,1
BURO_CREDIT_TYPE_Microloan_MEAN,190,1
BURO_CREDIT_TYPE_Mobile_operator_loan_MEAN,0,1
BURO_CREDIT_TYPE_Mortgage_MEAN,165,1
BURO_CREDIT_TYPE_Real_estate_loan_MEAN,0,1
BURO_CREDIT_TYPE_Unknown_type_of_loan_MEAN,0,1
BURO_CREDIT_TYPE_nan_MEAN,0,1
BURO_STATUS_0_MEAN_MEAN,837,1
BURO_STATUS_1_MEAN_MEAN,416,1
BURO_STATUS_2_MEAN_MEAN,155,1
BURO_STATUS_3_MEAN_MEAN,17,1
BURO_STATUS_4_MEAN_MEAN,23,1
BURO_STATUS_5_MEAN_MEAN,40,1
BURO_STATUS_C_MEAN_MEAN,546,1
BURO_STATUS_X_MEAN_MEAN,614,1
BURO_STATUS_nan_MEAN_MEAN,0,1
